Epoch,Loss,Train_Accuracy,Val_Accuracy
1,1.1065542697906494,0.3333333333333333,0.32670454545454547
2,1.0981674733616056,0.34375,0.48011363636363635
3,1.0841417426154727,0.4069940476190476,0.48011363636363635
4,1.0665974049341111,0.40922619047619047,0.4914772727272727
5,1.0591679073515392,0.41369047619047616,0.4659090909090909
6,1.0471100537549882,0.4099702380952381,0.4772727272727273
7,1.0445605488050551,0.41517857142857145,0.5
8,1.0449648144699277,0.41592261904761907,0.5113636363636364
9,1.038779610679263,0.4226190476190476,0.5028409090909091
10,1.0352174568743933,0.40922619047619047,0.4715909090909091
11,1.0324479781446003,0.41369047619047616,0.4772727272727273
12,1.0225471073672885,0.41889880952380953,0.5056818181818182
13,1.0252753098805745,0.40848214285714285,0.4772727272727273
14,1.0098240403901964,0.4114583333333333,0.48295454545454547
15,1.004839961017881,0.42410714285714285,0.5369318181818182
16,0.9882295358748663,0.4895833333333333,0.5596590909090909
17,0.9790978985173362,0.5037202380952381,0.5596590909090909
18,0.9620406854720343,0.5126488095238095,0.5681818181818182
19,0.9544027958597455,0.5394345238095238,0.5681818181818182
20,0.9444232881069183,0.515625,0.5909090909090909
21,0.9400310729231153,0.5431547619047619,0.6164772727272727
22,0.9439861490612939,0.5513392857142857,0.5454545454545454
23,0.9253577490647634,0.5282738095238095,0.5653409090909091
24,0.9327878214064098,0.5424107142857143,0.6193181818181818
25,0.9262749268895104,0.5639880952380952,0.6278409090909091
26,0.9105797778992426,0.5654761904761905,0.5909090909090909
27,0.9163773570741925,0.5572916666666666,0.6335227272727273
28,0.9031668206055959,0.5863095238095238,0.5823863636363636
29,0.9144424299399058,0.5587797619047619,0.6335227272727273
30,0.8965725771018437,0.5662202380952381,0.625
31,0.8981331402347201,0.5803571428571429,0.6392045454545454
32,0.8925483978929973,0.5729166666666666,0.6193181818181818
33,0.8906496096225012,0.5684523809523809,0.6392045454545454
34,0.8952908416589102,0.5662202380952381,0.6107954545454546
35,0.8892930391288939,0.5677083333333334,0.6306818181818182
36,0.887984132482892,0.5550595238095238,0.6335227272727273
37,0.8863472314107985,0.5714285714285714,0.6590909090909091
38,0.9010770817597707,0.5714285714285714,0.6505681818181818
39,0.8931918442249298,0.5669642857142857,0.6278409090909091
40,0.9021153194563729,0.578125,0.6392045454545454
